UID	SRS718908	SRS718980	SRS718910	SRS718911	SRS718914	SRS718915	SRS718916	SRS718917	SRS718930	SRS718931	SRS718933	SRS718937	SRS718939	SRS718940	SRS718944	SRS718945	SRS718951	SRS718952	SRS718955	SRS718956	SRS718957	SRS718975	SRS718958	SRS718959	SRS874618	SRS874619	SRS874620
NFYA:ENSG00000001167:E4.2-E5.1|ENSG00000001167:E3.1-E5.1	0.128205128	0.118721461	0.345679012	0.244318182	0.433566434	0.191729323	0.202702703	0.308219178	0.324561404	0.39800995	0.383116883	0.361386139	0.556701031	0.087301587	0.394067797	0.3359375	0.458181818	0.29787234	0.234042553	0.347305389	0.322834646	0.265625	0.411764706	0.221153846	0.54	0.333333333	0.5
NFYA:ENSG00000001167:E11.4_41066917-ENSG00000161912:E7.1|ENSG00000001167:E11.4_41066917-ENSG00000161912:I2.1_41071790		0.558823529	0.593220339	0.473684211	0.8	0.93877551	0.9	0.5	0.928571429	0.6	0.55	0.807692308	0.428571429		0.8	0.619047619	0.719298246	0.636363636		0.25	0.65	0.777777778	0.833333333		0.75		
STPG1:ENSG00000001460:E6.2-E7.2|ENSG00000001460:I1.2-E7.2	0	0.4		0.045454545	0.03030303	0.125	0.161290323	0	0	0	0.114285714	0	0.125	0.066666667	0.054054054	0.266666667	0.029411765	0.074074074	0	0	0.161290323	0	0	0.157894737	0.170731707	0.133333333	0.222222222
STPG1:ENSG00000001460:I1.2-E7.2|ENSG00000001460:E6.2-E7.2	1	0.461538462		0.954545455	0.96969697	0.848484848	0.838709677	0.625	0.947368421	1	0.885714286	0.962962963	0.795454545	0.933333333	0.853658537	0.6875	0.825	0.925925926	0.821428571	1	0.787878788	1	1	0.761904762	0.755555556	0.866666667	0.777777778
LAS1L:ENSG00000001497:E8.1-E9.3|ENSG00000001497:E8.1-E9.1	0.544776119	0.412244898	0.324022346	0.469767442	0.628140704	0.424324324	0.580865604	0.478448276	0.472727273	0.582	0.48974359	0.416230366	0.545454545	0.427927928	0.618461538	0.646788991	0.617977528	0.457142857	0.545023697	0.486842105	0.609756098	0.647058824	0.377224199	0.622377622	0.663636364	0.513157895	0.613207547
ENPP4:ENSG00000001561:E3.1-E4.1|ENSG00000001561:E3.1-I3.1		1		0.705128205	1	0.834645669	1	0.913207547	1	1	1	0.772727273	0.746031746	1	0.882882883	1	1		1	1	0.763888889	1	0.8	1	1		1
KRIT1:ENSG00000001631:E2.3-E3.1|ENSG00000001631:E1.20-E4.2		0.544303797	0.444444444	0.457142857	0.721311475	0.527472527	0.518518519	0.666666667	0.869565217	0.433333333	0.633333333	0.410958904	0.563909774	0.388888889	0.510869565	0.402777778	0.694444444	0.522727273	0.333333333	0.354166667	0.296296296	0.447368421	0.457142857	0.433333333	0.611940299	0.727272727	0.615384615
RAD52:ENSG00000002016:E10.2-E10.4|ENSG00000002016:E10.2-E11.1	0.444444444	0.634615385	0.166666667	0.540540541	0.333333333	0.625	0.666666667	0.266666667		0.162790698		0.482758621		0.3125	0.388888889	0.357142857	0.166666667	0.272727273	0.476190476	0.454545455	0.3125	0.35	0.111111111		0.47826087		
RAD52:ENSG00000002016:E10.5-E11.1|ENSG00000002016:E10.2-E11.1		0.641509434	0.285714286	0.763888889	0.432098765	0.769230769	0.7	0.421052632	0.333333333	0.217391304		0.673913043	0.642857143	0.5	0.388888889	0.5	0.25	0.384615385	0.607142857	0.571428571	0.52173913	0.434782609	0.529411765		0.625		
RAD52:ENSG00000002016:E10.2-E11.1|ENSG00000002016:E10.5-E11.1	0.416666667	0.220930233	0.625	0.184782609	0.442307692	0.166666667	0.1875	0.47826087	0.545454545	0.679245283		0.25	0.294117647	0.407407407	0.44	0.391304348	0.652173913	0.5	0.289473684	0.315789474	0.392857143	0.433333333	0.444444444	0.777777778	0.279069767		
RAD52:ENSG00000002016:E5.12-E7.1|ENSG00000002016:E5.14-E7.1		0.636363636		0.142857143	0.623188406	0.461538462		0.235294118		0.371428571		0.24	0.19047619	0.461538462	0.419354839	0.407407407	0.459459459	0.6	0.631578947	0.583333333	0.368421053	0.615384615	0.777777778	0.222222222	0.655172414		
SNX11:ENSG00000002919:E2.10-E4.1|ENSG00000002919:E2.10-E5.2	0.026548673	0.195652174	0.151515152	0.130434783	0.177777778	0.042553191	0.203703704	0.222222222	0.201834862	0.109589041	0.224719101	0.274193548	0.076923077	0.153846154	0.093457944	0.160305344	0.06741573	0.296875	0.125	0.177083333	0.325581395	0.092105263	0.169811321	0.038674033	0.172839506	0.166666667	0.102564103
SNX11:ENSG00000002919:E2.10-E5.2|ENSG00000002919:E4.1-E5.2	0.758333333	0.407894737	0.521276596	0.635294118	0.546875	0.678571429	0.4625	0.444444444	0.54676259	0.639534884	0.59047619	0.50617284	0.757009346	0.62244898	0.743589744	0.5875	0.72	0.357142857	0.509090909	0.638655462	0.333333333	0.651685393	0.558139535	0.589371981	0.623762376	0.590909091	0.666666667
SNX11:ENSG00000002919:E4.1-E5.2|ENSG00000002919:E2.10-E5.2	0.05982906	0.447761194	0.333333333	0.210526316	0.339285714	0.166666667	0.376811594	0.243243243	0.256410256	0.166666667	0.188235294	0.296875	0.16	0.23255814	0.093457944	0.208633094	0.117021277	0.430379747	0.3	0.225490196	0.5	0.158536585	0.207207207	0.13	0.229885057	0.210526316	0.204545455
SARM1:ENSG00000004139:I6.1-E7.1|ENSG00000004139:E6.3-E7.1	0.166666667	0.305084746		0.255813953		0.415384615	0		0.358974359	0.205128205	0	0.261904762	0	0.211538462	0.428571429	0.516129032	0.333333333	0	0	0.295454545	0.113636364	0.5	0.411764706	0.545454545	0.288461538	0	0
SARM1:ENSG00000004139:E6.3-I6.1|ENSG00000004139:E6.3-E7.1	0.285714286	0.145833333		0.228915663		0.449275362	0		0.193548387	0.184210526	0	0.347368421	0	0.163265306	0.419354839	0.347826087	0.164179104	0	0	0.162162162	0.113636364	0.5625	0.285714286	0.444444444	0.301886792	0	0
SARM1:ENSG00000004139:E6.3-E7.1|ENSG00000004139:E6.3-I6.1	0.625	0.621212121		0.60952381		0.395833333	1		0.555555556	0.673913043	1	0.52991453	1	0.683333333	0.404494382	0.384615385	0.589473684	1	1	0.62	0.795918367	0.304347826	0.476190476	0.333333333	0.544117647	1	1
SARM1:ENSG00000004139:E7.2-E10.3|ENSG00000004139:E8.1-E10.3	0.705882353	0.9		0.467391304	0.5625	0.280898876	0.818181818	0.823529412	0.75	0.339622642	0.421052632	0.35106383	0.558139535	0.672131148	0.421052632	0.37254902	0.524271845	0.65	0.8	0.575	0.941176471	0.666666667	0.5	0.791666667	0.642857143	0.928571429	0.333333333
PLXND1:ENSG00000004399:E22.1-E23.1_129284872|ENSG00000004399:E22.1-E23.2	0.00234192	0.007285974	0.01048951	0.014760148	0.003584229	0.015799257	0.015536723	0.006337136	0.001785714	0	0.007853403	0.007945516	0.009060023	0.002227171	0.009032258	0.011049724	0.003134796	0.007575758	0.002785515	0.005263158	0.01242236	0	0.006514658	0.006060606	0.007092199	0.007692308	0.011764706
PLXND1:ENSG00000004399:E22.1-E23.2|ENSG00000004399:E22.1-E23.1_129284872	0.990632319	0.992714026	0.96037296	0.98302583	0.913978495	0.953531599	0.963276836	0.993662864	0.994642857	1	0.979057592	0.992054484	0.960362401	0.997772829	0.980645161	0.983425414	0.987460815	0.990530303	0.988857939	0.992105263	0.985507246	1	0.990228013	0.993939394	0.985815603	0.992307692	0.988235294
CAMKK1:ENSG00000004660:E1.1-E4.1|ENSG00000004660:E2.2-E4.1			0.306722689	0.75	0.701298701	0.911764706	0.473684211	0.653846154	0.52173913	0.529411765	0.333333333	0.657142857	0.797202797		0.55	0.4	0.605263158	0.8125	0.454545455	0.772727273	0.416666667	0.461538462	0.388888889	0.388888889	0.628571429	0.916666667	
CAMKK1:ENSG00000004660:E2.2-E4.1|ENSG00000004660:E1.1-E4.1			0.693277311	0.25	0.298701299	0.088235294	0.526315789	0.346153846	0.47826087	0.470588235	0.666666667	0.342857143	0.202797203		0.45	0.6	0.394736842	0.1875	0.545454545	0.227272727	0.583333333	0.538461538	0.611111111	0.611111111	0.371428571	0.083333333	
CCDC132:ENSG00000004766:E8.6-E9.2|ENSG00000004766:I8.1_92888193-E9.2	1	0.985294118	1	1	0.98630137	1	1	1	1	1	1	0.9375	0.982905983	1	1	1	0.967741935	1	1	1	1	1	1	1	1		1
SLC22A16:ENSG00000004809:E11.1-E12.4|ENSG00000004809:E11.1-E12.1	0.953038674		0.823834197	0.956521739	0.968152866	0.950980392	0.975524476	0.945945946	0.952380952	0.990566038	0.981818182	0.985714286	0.942307692	0.876470588	0.992592593	0.926470588	0.972222222	1	1	1	1	0.946902655	1	0.933333333	0.981042654	0.888888889	0.944444444
SLC22A16:ENSG00000004809:E11.1-E12.1|ENSG00000004809:E11.1-E12.4	0.046961326		0.176165803	0.043478261	0.031847134	0.049019608	0.024475524	0.054054054	0.047619048	0.009433962	0.018181818	0.014285714	0.057692308	0.123529412	0.007407407	0.073529412	0.027777778	0	0	0	0	0.053097345	0	0.066666667	0.018957346	0.111111111	0.055555556
SLC25A13:ENSG00000004864:E6.1-E7.1|ENSG00000004864:I6.1_95825320-E7.1	1	0.955882353	0.976331361	0.985714286	0.952380952	0.991150442	1	1	0.953846154	1	0.9875	0.9921875	0.995169082	0.973214286	0.958677686	0.97260274	0.976470588	1	1	0.965517241	1	0.916666667	1	1	0.963302752	1	1
SLC25A13:ENSG00000004864:E15.1_95799181-E17.1|ENSG00000004864:E14.1-E17.1	0.025974026	0	0.263157895	0.119402985	0.243243243	0.040816327	0.073170732	0	0.055555556	0.05	0.049382716	0.045454545	0.092307692	0	0.068181818	0.018518519	0.114285714	0.113636364	0.029411765	0.230769231		0.018867925	0.147058824	0.080645161	0.034883721	0	0
SLC25A13:ENSG00000004864:E14.1-E17.1|ENSG00000004864:E14.1-E15.1	0.9375	0.944444444	0.571428571	0.842857143	0.577319588	0.921568627	0.863636364	0.93220339	0.944444444	0.95	0.827956989	0.884210526	0.808219178	0.960784314	0.854166667	0.85483871	0.574074074	0.795918367	0.846153846	0.681818182	0.8	0.945454545	0.783783784	0.75	0.892473118	1	0.925925926
SLC25A13:ENSG00000004864:E14.1-E15.1|ENSG00000004864:E14.1-E17.1	0.038461538	0.055555556	0.282051282	0.048387097	0.291139241	0.040816327	0.073170732	0.06779661	0	0	0.134831461	0.076923077	0.119402985	0.039215686	0.088888889	0.131147541	0.38	0.113636364	0.131578947	0.142857143	0.2	0.037037037	0.09375	0.197183099	0.077777778	0	0.074074074
SLC25A13:ENSG00000004864:I6.1_95825320-E7.1|ENSG00000004864:E6.1-E7.1	0	0.029850746	0.017857143	0	0.04	0	0	0	0.03125	0	0.006289308	0.0078125	0.004830918	0.026785714	0.016949153	0.02739726	0.011904762	0	0	0	0	0.025316456	0	0	0.018691589	0	0
SLC25A13:ENSG00000004864:E6.1-I6.1_95825416|ENSG00000004864:E6.1-E7.1	0	0.015151515	0.006024096	0.014285714	0.008264463	0.008849558	0	0	0.015873016	0	0.006289308	0	0	0	0.025210084	0	0.011904762	0	0	0.034482759	0	0.06097561	0	0	0.018691589	0	0
ST7:ENSG00000004866:E14.1-E15.1|ENSG00000004866:E13.2-E15.1	0.089285714	0.15		0.258064516	0.413043478	0.136752137	0.462765957	0.248	0.37	0.228915663	0.467153285	0.246212121	0.441176471		0.214814815		0.387096774	0.365079365	0.409638554	0.333333333	0.657142857	0.422535211	0.152777778	0.298969072	0.35	0.571428571	0.357142857
ST7:ENSG00000004866:E13.2-E15.1|ENSG00000004866:E14.1-E15.1	0.822580645	0.723404255		0.638888889	0.428571429	0.770992366	0.402390438	0.626666667	0.470149254	0.703296703	0.379679144	0.627760252	0.422222222		0.6625		0.484693878	0.49382716	0.429824561	0.466666667	0.2	0.482352941	0.710843373	0.556521739	0.49726776	0.238095238	0.473684211
ST7:ENSG00000004866:E13.2-E14.1|ENSG00000004866:E13.2-E15.1	0.105263158	0.170731707		0.178571429	0.386363636	0.12173913	0.384146341	0.210084034	0.350515464	0.111111111	0.406504065	0.21031746	0.366666667		0.190839695		0.301470588	0.310344828	0.3875	0.391304348	0.555555556	0.254545455	0.152777778	0.209302326	0.320895522	0.538461538	0.357142857
CDC27:ENSG00000004897:E13.3-E14.2|ENSG00000004897:E13.3-E14.1	0.4	0.298245614	0.341968912	0.265734266	0.31092437	0.324840764	0.236111111	0.211111111	0.204081633	0.318518519	0.302469136	0.18705036	0.30994152	0.269230769	0.295698925	0.303278689	0.142857143	0.329268293	0.233333333	0.269662921	0.468468468	0.228571429	0.313953488	0.1953125	0.245901639	0.2	0.263157895
DVL2:ENSG00000004975:E6.4-E7.2|ENSG00000004975:E6.4-E7.4	0.994594595	0.988826816	0.977272727	0.947089947	0.950413223	0.996742671	0.934210526	0.986956522	0.967105263	1	0.989583333	0.993920973	0.958715596	0.948	0.972868217	0.991071429	0.978835979	0.9625	1	0.99009901	0.965811966	0.961325967	0.984375	0.904255319	0.996062992	0.888888889	1
DVL2:ENSG00000004975:E6.4-E7.4|ENSG00000004975:E6.4-E7.2	0.005405405	0.011173184	0.022727273	0.052910053	0.049586777	0.003257329	0.065789474	0.013043478	0.032894737	0	0.010416667	0.006079027	0.041284404	0.052	0.027131783	0.008928571	0.021164021	0.0375	0	0.00990099	0.034188034	0.038674033	0.015625	0.095744681	0.003937008	0.111111111	0
LIG3:ENSG00000005156:E11.2-E12.1_33321273|ENSG00000005156:E11.2-E12.3	0	0	0.017241379	0	0	0	0	0	0	0	0	0	0.006329114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3:ENSG00000005187:I18.1_20800094-E19.1|ENSG00000005187:E18.2-E19.1	0.071428571	0.065217391		0.15	0.111111111	0.133333333	0	0.096774194		0.111111111	0.16	0.021390374	0.375	0.090909091	0	0.1	0.037037037	0.176470588	0.090909091		0	0	0.444444444	0	0.045454545	0	
ACSM3:ENSG00000005187:E6.2-E9.1|ENSG00000005187:E7.2-E9.1	0.095238095	0	0.090909091	0.019230769		0	0	0	0	0	0	0	0	0	0	0.333333333	0	0.21875	0.037037037	0	0	0			0	0	
ACSM3:ENSG00000005187:E7.2-E9.1|ENSG00000005187:E6.2-E9.1	0.857142857	0.990196078	0.8	0.980769231		1	1	1	1	1	1	1	1	1	1	0.583333333	1	0.741935484	0.962962963	1	1	1			1	1	
ACSM3:ENSG00000005187:E18.2-E19.1|ENSG00000005187:I18.1_20800094-E19.1	0.8125	0.934782609		0.723404255	0.888888889	0.787878788	1	0.903225806	0.888888889	0.8	0.84	0.943298969	0.555555556	0.8	0.933333333	0.5625	0.866666667	0.823529412	0.909090909		1	1	0.5	1	0.954545455	0.857142857	
AC004381.6:ENSG00000005189:E1.20-E4.1|ENSG00000005189:E1.13-E4.1	0.958333333	0.945454545	0.842105263	0.923076923	1	0.942028986	0.843137255	1	0.953488372	1	0.974025974	0.939130435	1	0.885135135	0.949367089	1	0.952380952	0.923076923	1	0.977777778	0.931818182	0.931818182	0.9375	0.821917808	0.948717949	1	
AC004381.6:ENSG00000005189:E4.1-E5.1|ENSG00000005189:E4.1-E5.3	0.808510638	0.87755102	1	0.928571429	0.727272727	0.947368421	0.711111111	0.905660377	0.964285714	0.853658537	0.896103896	0.92	0.846153846	0.929245283	0.982142857	1	0.76	0.794117647	0.794117647	0.882352941	1	0.945945946	0.879310345	0.871428571	0.913043478	1	1
AC004381.6:ENSG00000005189:E1.20-I1.1|ENSG00000005189:E1.20-E4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BZRAP1:ENSG00000005379:E29.1-E32.1|ENSG00000005379:E29.1-E31.1	0.294605809	0.491712707	0.255319149	0.20747889	0.151162791	0.27672956	0.371308017	0.212121212	0.132743363	0.389312977	0.247863248	0.289227166	0.230861244	0.236472946	0.227005871	0.380530973	0.167582418	0.256410256	0.081632653	0.135483871	0.070175439	0.326403326	0.25	0.159851301	0.163551402	0.188311688	0.333333333
BZRAP1:ENSG00000005379:E11.1-E12.1|ENSG00000005379:I11.1-E12.1	0.862068966	0.455128205	0.333333333	0.445040214		0.506352087	0.23880597	0.505376344	1	0.88	0.260273973	0.530909091	0.522968198	0.588744589	0.531531532	0.417582418	0.306569343	0.705882353	0.263157895	0.19047619	0.28125	0.389908257	0.506493506	0.585714286	0.882352941	0.6	0.31122449
BZRAP1:ENSG00000005379:E29.1-E31.1|ENSG00000005379:E29.1-E32.1	0.444444444	0.230277186	0.512820513	0.281931464	0.358490566	0.321489002	0.114583333	0.16025641	0.194117647	0.311320755	0.128571429	0.293442623	0.367149758	0.474254743	0.223163842	0.197860963	0.122923588	0.179104478	0.11023622	0.06993007	0.196078431	0.197468354	0.3125	0.228310502	0.170940171	0.176470588	0.327956989
BZRAP1:ENSG00000005379:E10.2-I10.1|ENSG00000005379:E10.1-E11.1	0	0	0	0		0.031862745	0	0	0	0	0	0	0.037234043	0	0	0.074626866	0	0	0	0.146341463	0	0.080536913	0	0	0	0	0
BZRAP1:ENSG00000005379:E18.1-E19.1|ENSG00000005379:I18.1-E19.1	1	0.944444444	1	0.864864865	1	1	0.529411765	1	0.72	1	0.621621622	0.949612403	0.879310345	1	0.925465839	1	0.344370861	0.96875	0.315789474	0.61038961	0.461538462	0.928571429	1	0.846153846	0.553846154	0.733333333	0.940217391
BZRAP1:ENSG00000005379:E13.1-E14.1|ENSG00000005379:E13.1-E14.1_56395851	0.9	0.974576271	0.888888889	0.980392157	1	0.974137931	0.931034483	1	0.933333333	0.925	0.976190476	0.982142857	1	0.970414201	0.969230769	0.96	0.975609756	0.933333333	0.961538462	1	0.894736842	0.974489796	1	1	1	0.909090909	0.993548387
GCFC2:ENSG00000005436:E12.1-E13.1|ENSG00000005436:E12.1-I12.1_75901676	0.9375	0.730769231		0.672897196	0.55	0.706896552	0.895833333	0.722222222	0.884615385	0.696969697	0.79787234	0.725663717	0.602150538	0.9	0.621621622	0.782608696	0.693181818	0.703703704	0.675675676	0.545454545	0.466666667	0.883333333	0.72	0.48	0.709677419	0.866666667	0.884615385
WDR54:ENSG00000005448:E5.2-E6.1|ENSG00000005448:E5.2-I5.1	0.965217391	0.607142857	0.934210526	0.739583333	1	0.68907563	0.96803653	1	0.936170213	0.964539007	0.949275362	0.831395349	0.976635514	0.880478088	0.974193548	0.941176471	0.962264151	0.938461538	0.901408451	0.988235294	0.952380952	0.967213115	0.97752809	0.861538462	0.97260274	0.939393939	0.869565217
CROT:ENSG00000005469:E17.1-E18.1|ENSG00000005469:E17.1-E20.1		0.921052632	1	1	1	1	0.7		1		1	1	1	1	0.909090909	1	1		1	1		1					
CROT:ENSG00000005469:E18.1-E20.1|ENSG00000005469:E17.1-E20.1		0.823529412	1	1	1	1			1			1	1	1	0.958333333	1	1		1	1		1		1			1
ZNF195:ENSG00000005801:I11.1-E12.1|ENSG00000005801:E6.4-E15.1	0.140350877	0.304347826	0.346774194	0.188118812	0.327272727	0.476744186	0.074074074	0.396946565	0.126582278	0.201342282	0	0.342696629	0	0	0	0.241935484	0	0.352941176	0	0.118055556	0.16	0.23364486	0.257142857	0.164948454	0	0	0
ZNF195:ENSG00000005801:I7.1-E8.1|ENSG00000005801:E6.4-E15.1	0	0.182389937	0.218181818	0.181818182	0.123595506	0.25	0	0.097560976	0	0.097902098	0.049019608	0.243902439	0.247706422	0	0.208955224	0.179104478	0.071428571	0.135802469	0.117647059	0.126760563	0	0.215686275	0.198473282	0	0.127906977	0	0
ZNF195:ENSG00000005801:I10.1-E11.1|ENSG00000005801:E6.4-E15.1	0.157894737	0.235632184	0.24	0.158823529	0.141304348	0.278571429	0.125	0.307692308	0.102564103	0.118055556	0.127272727	0.214765101	0.261261261	0.083333333	0.198347107	0.171875	0	0.192771084	0.129411765	0.183006536	0.08974359	0.16	0.177966102	0.18	0	0.147058824	0
ZNF195:ENSG00000005801:E10.1-I10.1|ENSG00000005801:E6.4-E15.1	0.150442478	0.398190045	0.387096774	0.388888889	0.21	0.454054054	0.237623762	0.314285714	0.176470588	0.216049383	0.232	0.377659574	0.32231405	0.208	0.302158273	0.302631579	0	0.316326531	0.195652174	0.183006536	0.183908046	0.20754717	0.253846154	0.299145299	0	0.171428571	0
ZFX:ENSG00000005889:E9.2-E13.1|ENSG00000005889:E11.1-E13.1	0.92	0.8359375	0.936708861	0.783653846	0.946428571	0.803921569	1	0.775510204	0.884057971	0.801724138	0.859872611	0.81595092	0.654545455	0.848214286	0.642857143	0.724409449	0.621359223	0.826666667	0.976190476	0.855072464	0.894736842	0.801652893	0.945205479	0.783861671	0.79245283	0.956521739	0.655172414
ZFX:ENSG00000005889:E11.1-E13.1|ENSG00000005889:E9.2-E13.1	0	0.066666667	0.019607843	0.130890052	0.036036036	0.116402116	0	0.133333333	0.046875	0.083333333	0.073825503	0.119205298	0.214659686	0.086538462	0.230769231	0.145454545	0.192771084	0.086956522	0	0.074626866	0.054545455	0.125	0.01369863	0.113564669	0.142857143	0	0.192307692
LAMP2:ENSG00000005893:E11.4-I11.1|ENSG00000005893:E9.1-E12.1	0			0.785714286	0.714285714	0.571428571	0.391304348	0.3	0.789473684	0.6	0.62962963	0.739130435	0.666666667	0.666666667	0.765957447	0.529411765	0.416666667	0.727272727			0.666666667			0.357142857	0		
LAMP2:ENSG00000005893:I11.1-E12.1|ENSG00000005893:E9.1-E12.1	0		0.777777778	0.8	0.7	0.558823529	0.533333333	0.3	0.636363636	0.666666667	0.523809524	0.76	0.810810811	0.736842105	0.710526316	0.428571429	0.631578947	0.785714286			0.583333333			0.4375	0		
LAMP2:ENSG00000005893:E9.1-E11.2|ENSG00000005893:E9.1-E10.1	0.864206642	0.284821429	0.293515358	0.440311419	0.494097808	0.442828485	0.783884144	0.463308458	0.488204456	0.501848049	0.458642893	0.483712785	0.443021201	0.305781175	0.467133411	0.345125786	0.482978723	0.671734623	0.522590361	0.241192412	0.477626459	0.382147838	0.355725191	0.431570109	0.516975309	0.495614035	0.487226277
LAMP2:ENSG00000005893:E9.1-E10.1|ENSG00000005893:E9.1-E11.2	0.11368736	0.70678733	0.676524954	0.535811423	0.477085781	0.526315789	0.196752266	0.518377693	0.491525424	0.482254697	0.518022657	0.501246883	0.542410714	0.677177177	0.515151515	0.642685851	0.488986784	0.304347826	0.456386293	0.738372093	0.508893281	0.602322206	0.634674923	0.529937444	0.464733542	0.472222222	0.5
ITGA2B:ENSG00000005961:I26.1-E5.1|ENSG00000005961:E2.1_42463374-I26.1_42221980		1	1	1	1	1		1	1		1	1	1	1	1	1	1	1	1	1		1	1	1	1		1
ITGA2B:ENSG00000005961:I26.1_42275921-E5.2|ENSG00000005961:I26.1_42276167-E5.2	0.909090909	1	1	0.782608696		1	1	0.875	1	0.931034483	0.760869565	0.838709677	1	1	1	0.903225806	0.76	0.945945946		0.75	1	1	0.928571429	0.891891892	0.863636364		
ITGA2B:ENSG00000005961:E20.3-I26.1_42286037|ENSG00000005961:I26.1-E21.1	0.647058824	0.346153846		0.138888889	0.15	0.293233083	0.411764706	0.260869565	0.354166667	0.404761905	0.388888889	0.309859155	0.361702128	0.444444444	0.206349206	0.071428571	0.333333333	0.233333333		0.428571429	0.176470588	0.454545455	0.424242424	0	0.428571429		
ITGA2B:ENSG00000005961:E1.11-I26.1|ENSG00000005961:I26.1_42402078-I26.1_42400944	0.705882353	0.902439024	1	0.936507937	0.961538462	0.811320755	0.764705882	1	0.967741935	0.96	1	0.974358974	0.945054945	0.888888889	0.972222222	0.93877551	0.95890411	0.962962963	0.888888889	1	0.891891892	0.857142857	0.98	0.838709677	0.911764706	0.95	0.928571429
ITGA2B:ENSG00000005961:E22.1-I26.1|ENSG00000005961:E22.1-I26.1_42157613	0.818181818	0.85	0.975	0.941176471	0.947368421	0.882352941		0.941176471		1	0.733333333	0.8125	0.714285714	1	0.923076923	0.9	0.913043478	0.733333333	0.818181818	0.583333333		0.9375	1		0.666666667		
